softwareId,softwareName,softwareType,systemId
618,Ms. Space Fury,Game,9
619,Nova Blast,Game,9
620,Oil's Well,Game,9
621,Omega Race,Game,9
622,One on One,Game,9
623,Pac-Man,Game,9
624,Pepper II,Game,9
625,Pitfall II - Lost Caverns,Game,9
626,Pitfall!,Game,9
627,Pitstop,Game,9
628,Popeye,Game,9
629,Porky's,Game,9
630,Power Lords - Quest for Volcan,Game,9
631,Q-bert,Game,9
632,Q-Bert's Qubes,Game,9
633,Quest for Quintana Roo,Game,9
634,River Raid,Game,9
635,Robin Hood,Game,9
636,Roc 'N Rope,Game,9
637,Rock 'N' Bolt,Game,9
638,Rocky Super-Action Boxing,Game,9
639,Rolloverture,Game,9
640,Sammy Lightfoot,Game,9
641,Sector Alpha,Game,9
642,Sewer Sam,Game,9
643,Sir Lancelot,Game,9
644,Skiing,Game,9
645,Slither,Game,9
646,Slurpy,Game,9
647,Smurf Paint 'n Play Workshop,Game,9
648,Smurf Rescue,Game,9
649,Space Fury,Game,9
650,Space Panic,Game,9
651,Spectron,Game,9
652,Spy Hunter,Game,9
653,Squish 'Em Sam!,Game,9
654,Star Trek,Game,9
655,Star Wars,Game,9
656,Steamroller,Game,9
657,Strike It!,Game,9
658,Subroc,Game,9
659,Super Action Baseball,Game,9
660,Super Action Football,Game,9
661,Super Action Soccer,Game,9
662,Super Cobra,Game,9
663,Super Controller Tester,Game,9
664,Super Cross Force,Game,9
665,Super DK!,Game,9
666,Super DK! Junior,Game,9
667,Tank Wars,Game,9
668,Tapper,Game,9
669,Telly Turtle,Game,9
670,Threshold,Game,9
671,Time Pilot,Game,9
672,Tomarc the Barbarian,Game,9
673,Tournament Tennis,Game,9
674,Tunnels & Trolls,Game,9
675,Turbo,Game,9
676,Tutankham,Game,9
677,Up 'N Down,Game,9
678,Venture,Game,9
679,Victory,Game,9
680,Video Hustler,Game,9
681,War Games,Game,9
682,War Room,Game,9
683,Wing War,Game,9
684,Wizard of Id's Wizmath,Game,9
685,Word Feud,Game,9
686,"Yolk's on You, The",Game,9
687,Zaxxon,Game,9
688,Zenji,Game,9
689,3D Bowling,Game,10
690,3D Soccer,Game,10
691,Alien Invaders,Game,10
692,American Football,Game,10
693,Astro Invader,Game,10
694,Autorace,Game,10
695,Baseball,Game,10
696,Basketball,Game,10
697,Blackjack and Poker,Game,10
698,Boxing,Game,10
699,Brain Quiz,Game,10
700,Breakaway,Game,10
701,Capture,Game,10
702,Cat Trax,Game,10
703,Circus,Game,10
704,Combat,Game,10
705,Crazy Climber,Game,10
706,Crazy Gobbler,Game,10
707,Escape,Game,10
708,Funky Fish,Game,10
709,Golf,Game,10
710,Grand Slam Tennis,Game,10
711,Hobo,Game,10
712,Horse Racing,Game,10
713,Jump Bug,Game,10
714,Jungler,Game,10
715,Missile War,Game,10
716,Monaco Grand Prix,Game,10
717,Nibblemen,Game,10
718,Ocean Battle,Game,10
719,Parashooter,Game,10
720,Pleiades,Game,10
721,R2D Tank,Game,10
722,Red Clash,Game,10
723,Robot Killer,Game,10
724,Route 16,Game,10
725,Soccer,Game,10
726,Space Attack,Game,10
727,Space Mission,Game,10
728,Space Raiders,Game,10
729,Space Squadron,Game,10
730,Space Vultures,Game,10
731,Spiders,Game,10
732,Star Chess,Game,10
733,Super Gobbler,Game,10
734,Tanks a Lot,Game,10
735,The End,Game,10
736,Turtles,Game,10
737,Entex Adventure Vision,BIOS,11
738,Defender,Game,11
739,Space Force,Game,11
740,Super Cobra,Game,11
741,Turtles,Game,11
742,Astro Wars - Invaders from Space,Game,12
743,Astro Wars II - Battle in Galaxy,Game,12
744,Boulder Dash,Game,12
745,Comic Circus,Game,12
746,Doraemon,Game,12
747,Elevator Fight,Game,12
748,Kung Fu Road,Game,12
749,Lupin Sansei,Game,12
750,Milky Princess,Game,12
751,Miner 2049er,Game,12
752,Nebula,Game,12
753,Pole Position II,Game,12
754,Pop & Chips,Game,12
755,Professional Wrestling,Game,12
756,Punch Boy,Game,12
757,Real Graphic Mahjongg,Game,12
758,Sansupyuta,Game,12
759,Shougi Nyuumon,Game,12
760,Super Baseball,Game,12
761,Super Golf,Game,12
762,Super Soccer,Game,12
763,Ton Ton Ball,Game,12
764,Wheelie Racer,Game,12
765,Fairchild Channel F,BIOS,13
766,Alien Invasion,Game,13
767,"Backgammon, Acey-Deucey",Game,13
768,Baseball,Game,13
769,Bowling,Game,13
770,Casino Poker,Game,13
771,Checkers,Game,13
772,Demonstration Cartridge,Game,13
773,Demonstration Cartridge 2,Game,13
774,"Desert Fox, Shooting Gallery",Game,13
775,Dodge It,Game,13
776,Drag Race,Game,13
777,"Galactic Space Wars, Lunar Lander",Game,13
778,Hangman,Game,13
779,Magic Numbers - Mind Reader + Nim,Game,13
780,Math Quiz I - Addition + Subtraction,Game,13
781,Math Quiz II - Multiplication + Division,Game,13
